stage,host,kind,training_seed,condition,env_seed,policy_seed,success,policy_steps,reason,source_summary
additional,H1,gt,0,none,910010,1010010,True,469,dwell_complete,withheld-source-14ca011584d8e8928ed3
additional,H1,gt,0,top,910008,1010008,True,627,dwell_complete,withheld-source-2f46f9d181a6c3a4e03b
additional,H1,gt,0,top,910009,1010009,True,682,dwell_complete,withheld-source-2f46f9d181a6c3a4e03b
additional,H1,gt,0,top,910010,1010010,False,2000,max_steps,withheld-source-2f46f9d181a6c3a4e03b
additional,H1,gt,0,head,910008,1010008,True,755,dwell_complete,withheld-source-bdefe5950563a2d9dc94
additional,H1,gt,0,head,910009,1010009,True,581,dwell_complete,withheld-source-bdefe5950563a2d9dc94
additional,H1,gt,0,head,910010,1010010,True,590,dwell_complete,withheld-source-bdefe5950563a2d9dc94
additional,H1,camera3d,0,none,910008,1010008,False,2000,max_steps,withheld-source-ae0fa2b9fc0085f6b2ce
additional,H1,camera3d,0,none,910009,1010009,False,2000,max_steps,withheld-source-ae0fa2b9fc0085f6b2ce
additional,H1,camera3d,0,none,910010,1010010,False,2000,max_steps,withheld-source-ae0fa2b9fc0085f6b2ce
additional,H1,camera3d,0,top,910008,1010008,False,2000,max_steps,withheld-source-fa235d24348c943cee56
additional,H1,camera3d,0,top,910009,1010009,False,2000,max_steps,withheld-source-fa235d24348c943cee56
additional,H1,camera3d,0,top,910010,1010010,False,2000,max_steps,withheld-source-fa235d24348c943cee56
additional,H1,camera3d,0,head,910008,1010008,False,2000,max_steps,withheld-source-cfda56fa4566d4dd8c85
additional,H1,camera3d,0,head,910009,1010009,False,2000,max_steps,withheld-source-cfda56fa4566d4dd8c85
additional,H1,camera3d,0,head,910010,1010010,False,2000,max_steps,withheld-source-cfda56fa4566d4dd8c85
primary,H2,rgb,0,none,910001,1010001,True,362,dwell_complete,withheld-source-8363b194e9362863ecc7
primary,H2,rgb,0,none,910002,1010002,True,266,dwell_complete,withheld-source-8363b194e9362863ecc7
primary,H2,rgb,0,none,910003,1010003,True,330,dwell_complete,withheld-source-8363b194e9362863ecc7
primary,H2,rgb,0,none,910004,1010004,True,386,dwell_complete,withheld-source-8363b194e9362863ecc7
primary,H2,rgb,0,none,910005,1010005,True,528,dwell_complete,withheld-source-8363b194e9362863ecc7
primary,H2,depth,0,none,910001,1010001,True,429,dwell_complete,withheld-source-a294d77b0c25fa6fc4e4
primary,H2,depth,0,none,910002,1010002,True,531,dwell_complete,withheld-source-a294d77b0c25fa6fc4e4
primary,H2,depth,0,none,910003,1010003,True,403,dwell_complete,withheld-source-a294d77b0c25fa6fc4e4
primary,H2,depth,0,none,910004,1010004,True,313,dwell_complete,withheld-source-a294d77b0c25fa6fc4e4
primary,H2,depth,0,none,910005,1010005,True,529,dwell_complete,withheld-source-a294d77b0c25fa6fc4e4
primary,H2,rgb,1,none,920001,1020001,True,375,dwell_complete,withheld-source-578f0a30f7814921f2bd
primary,H2,rgb,1,none,920002,1020002,True,387,dwell_complete,withheld-source-578f0a30f7814921f2bd
primary,H2,rgb,1,none,920003,1020003,True,283,dwell_complete,withheld-source-578f0a30f7814921f2bd
primary,H2,rgb,1,none,920004,1020004,True,395,dwell_complete,withheld-source-578f0a30f7814921f2bd
primary,H2,rgb,1,none,920005,1020005,True,609,dwell_complete,withheld-source-578f0a30f7814921f2bd
primary,H2,depth,1,none,920001,1020001,True,551,dwell_complete,withheld-source-55b3fecb2c15ce138764
primary,H2,depth,1,none,920002,1020002,True,570,dwell_complete,withheld-source-55b3fecb2c15ce138764
primary,H2,depth,1,none,920003,1020003,True,394,dwell_complete,withheld-source-55b3fecb2c15ce138764
primary,H2,depth,1,none,920004,1020004,True,434,dwell_complete,withheld-source-55b3fecb2c15ce138764
primary,H2,depth,1,none,920005,1020005,True,515,dwell_complete,withheld-source-55b3fecb2c15ce138764
primary,H2,rgb,2,none,930001,1030001,True,594,dwell_complete,withheld-source-87a2aa60d526d630acdc
primary,H2,rgb,2,none,930002,1030002,True,894,dwell_complete,withheld-source-87a2aa60d526d630acdc
primary,H2,depth,2,none,930001,1030001,True,452,dwell_complete,withheld-source-878cf68b2ad38872455c
primary,H2,depth,2,none,930002,1030002,True,698,dwell_complete,withheld-source-878cf68b2ad38872455c
primary,H2,rgb,0,top,910001,1010001,True,353,dwell_complete,withheld-source-b9988ea74914eb3da61b
primary,H2,rgb,0,top,910002,1010002,True,264,dwell_complete,withheld-source-b9988ea74914eb3da61b
primary,H2,rgb,0,top,910003,1010003,True,325,dwell_complete,withheld-source-b9988ea74914eb3da61b
primary,H2,rgb,0,top,910004,1010004,True,488,dwell_complete,withheld-source-b9988ea74914eb3da61b
primary,H2,rgb,0,top,910005,1010005,False,2000,max_steps,withheld-source-b9988ea74914eb3da61b
primary,H2,depth,0,top,910001,1010001,True,304,dwell_complete,withheld-source-b588a47d357b89d855ae
primary,H2,depth,0,top,910002,1010002,True,280,dwell_complete,withheld-source-b588a47d357b89d855ae
primary,H2,depth,0,top,910003,1010003,True,394,dwell_complete,withheld-source-b588a47d357b89d855ae
primary,H2,depth,0,top,910004,1010004,True,311,dwell_complete,withheld-source-b588a47d357b89d855ae
primary,H2,depth,0,top,910005,1010005,True,1755,dwell_complete,withheld-source-b588a47d357b89d855ae
