tag,group,kind,success,joint_index,joint_name,per_joint_signed_work_j,per_joint_positive_work_j,per_joint_absolute_work_j,per_joint_peak_absolute_power_w,per_joint_peak_absolute_torque_nm,per_joint_peak_absolute_velocity_rad_s,per_joint_min_limit_margin_rad
record-146c5571357dca3e,legacy,depth,True,4,wrist_angle,70.44140285575871,71.05643267887949,71.67146250200027,25.222503232486908,56.32036380307375,0.47762299209142145,0.3513864508345963
record-f46b0c31bf385fbd,legacy,depth,True,0,waist,101.51703872657431,102.02879970477585,102.54056068297739,11.929531261682547,69.16794227370644,0.18490041659288287,28.196288266571116
record-f46b0c31bf385fbd,legacy,depth,True,1,shoulder,53.41960342217208,54.52788938091044,55.63617533964882,14.402705295745742,115.75348931055726,0.14287084923122398,0.8901166800928364
record-f46b0c31bf385fbd,legacy,depth,True,2,elbow,154.97410388802834,155.82934063202313,156.68457737601798,71.02093267073545,317.42948363184223,0.2604906611717854,1.0524833325488698
record-f46b0c31bf385fbd,legacy,depth,True,3,forearm_roll,0.0021087189926781063,0.00525170575672635,0.008394692520774592,0.024203768698753625,2.449866323063091,0.010538298556733553,3.128456454127364
record-f46b0c31bf385fbd,legacy,depth,True,4,wrist_angle,65.5487152049593,66.6711428542555,67.79357050355192,26.49020946369897,55.777273966291546,0.5053687304807605,0.38382799255574174
record-d3b287102f9c7846,legacy,rgb,True,0,waist,100.85833282561777,101.36473081542944,101.87112880524111,12.817843239185905,69.78914297213177,0.194692713229242,28.240412319425783
record-d3b287102f9c7846,legacy,rgb,True,1,shoulder,52.052935435850635,53.26932144971001,54.485707463569405,22.411108029013988,139.5091517537104,0.1807744348616201,0.878957546865653
record-d3b287102f9c7846,legacy,rgb,True,2,elbow,242.7472463556525,244.82916634543187,246.91108633521122,139.864840208394,417.4705875603677,0.3822726418270258,0.9555818514316833
record-d3b287102f9c7846,legacy,rgb,True,3,forearm_roll,0.0009369950453118061,0.0013894298246222533,0.0018418646039327024,0.0020670731061293015,0.824319660370441,0.0028482150167869593,3.140247945437046
record-d3b287102f9c7846,legacy,rgb,True,4,wrist_angle,77.58524149088286,78.04735315575269,78.50946482062251,24.618536312355467,56.286570633583096,0.4704972912489555,0.3165193506829582
record-5114079c3c87caf3,legacy,rgb,True,0,waist,101.46671588932685,101.90903680317157,102.3513577170163,12.826276440826616,69.9928453128378,0.1932562477068395,28.236826926682443
record-5114079c3c87caf3,legacy,rgb,True,1,shoulder,34.59537814531729,35.525010937274224,36.45464372923128,22.811571400261666,144.08783270566732,0.17606871904998714,0.8644935759875456
record-5114079c3c87caf3,legacy,rgb,True,2,elbow,246.42750540661206,248.22880922259995,250.03011303858813,102.72116662082672,377.47742935556016,0.320012048586299,0.9292667910697089
record-5114079c3c87caf3,legacy,rgb,True,3,forearm_roll,-0.00021345084302577553,0.0013088605289545304,0.0028311719009348453,0.010273922051299494,1.586304968074204,0.0067378194179680065,3.1393978862407845
record-5114079c3c87caf3,legacy,rgb,True,4,wrist_angle,86.973400289475,87.24296300586101,87.51252572224703,25.341250083066836,56.27242364673248,0.4812924451304473,0.31804178726896404
record-d936dff3f2b4feea,corrected,rgb,False,0,waist,243.31689578627,244.59726858590608,247.955347703092,12.654878931123449,14.825541752456989,0.5055204325274765,0.15264089051573967
record-d936dff3f2b4feea,corrected,rgb,False,1,shoulder,91.19046574391952,91.23396110565062,92.26541887186904,196.79642978754677,281.9673617860211,0.2313707438219733,0.058727504409339014
record-d936dff3f2b4feea,corrected,rgb,False,2,elbow,362.17511277379253,366.4270214970116,369.7478778545812,697.4919384599439,668.4681547929364,0.624112984816321,0.17484874880477566
record-d936dff3f2b4feea,corrected,rgb,False,3,forearm_roll,0.19113996513222614,0.1919832611059111,0.19396270428953077,2.521560133378059,7.391822991166294,0.46541701214319386,15.441314107248731
record-d936dff3f2b4feea,corrected,rgb,False,4,wrist_angle,70.23219891810105,71.06357580023861,71.71371567237816,43.45859705049028,94.06921962314772,0.3233200080268585,12.373259570244459
record-1b849deb042ce5ee,corrected,depth,True,0,waist,220.73497182051383,223.06746484313246,224.31923068811636,11.779506211085069,35.69166611781561,0.6569185471096844,0.4473465580886415
record-1b849deb042ce5ee,corrected,depth,True,1,shoulder,90.53276613016644,91.7530205529815,92.69671762740494,92.26986223995763,232.15853487979294,0.6641258050506237,0.48844136356448525
record-1b849deb042ce5ee,corrected,depth,True,2,elbow,374.8004188934955,376.98713715936134,379.1170131412424,747.0080791123937,1581.4143829134491,0.441039991588804,0.14519927015963144
record-1b849deb042ce5ee,corrected,depth,True,3,forearm_roll,0.2062773985428497,0.20700065135846749,0.20853390055825277,3.690133549198263,9.52117264657013,0.3491029647917085,18.666499182931734
record-1b849deb042ce5ee,corrected,depth,True,4,wrist_angle,63.58960056246502,63.991778642861675,64.33789906576723,40.16562600484309,56.29798901626088,0.12904669035065347,20.084332371454572
record-00d172d2d7be6422,corrected,rgb,False,0,waist,228.72294353542284,229.91195454384484,233.25608140639105,11.664666763450684,16.162390593956527,0.08033669121452364,0.33040778963745077
record-00d172d2d7be6422,corrected,rgb,False,1,shoulder,106.44258594336284,107.97709337529177,108.88236301609133,348.21236103293086,526.990732543814,0.21072688923338817,0.29850455186393854
record-00d172d2d7be6422,corrected,rgb,False,2,elbow,400.8132056818229,401.5153642290303,406.88649142683914,2210.4924030387765,5816.358516522343,0.15985835460836362,0.0788618781876215
record-00d172d2d7be6422,corrected,rgb,False,3,forearm_roll,0.2000962140237452,0.1995496766433164,0.2024066415551565,33.91749138830924,68.79372541862948,0.6496143369046888,21.247798491030885
record-00d172d2d7be6422,corrected,rgb,False,4,wrist_angle,82.32475265104776,83.44015933815137,84.06703292091765,135.96533903499272,124.25816498840874,0.519136630916977,2.0881564817786713
record-ef4ee316180b125a,corrected,depth,True,0,waist,257.68562193964476,261.5627591132785,263.92168226246594,12.294436127598466,38.043803367215,0.227641309849674,0.04457684186539044
record-ef4ee316180b125a,corrected,depth,True,1,shoulder,98.62914550230448,98.1976887199245,99.66307432636845,19.232236521643994,60.439877725121384,0.5996798355580506,0.3431152123260533
record-ef4ee316180b125a,corrected,depth,True,2,elbow,398.90060960920727,399.3628694019879,404.7548453704249,137.72928799595067,268.69646508853936,0.20374305572642143,0.34685528672305804
record-ef4ee316180b125a,corrected,depth,True,3,forearm_roll,0.23005182773572866,0.2308460162776907,0.232534403918751,0.8387180036782329,1.4774114116605574,0.5428259457610883,18.53173831871933
record-ef4ee316180b125a,corrected,depth,True,4,wrist_angle,72.2427305037043,72.8574800290965,73.3421747705382,10.141904578037016,31.224167863557977,0.3404460378407288,4.5376344610367445
record-5270b0f60f13a98f,corrected,rgb,False,0,waist,181.83070319999936,181.62448628465333,183.79162935228038,12.0452483368213,18.64061135729631,0.5737082348769866,0.34173321360406994
record-5270b0f60f13a98f,corrected,rgb,False,1,shoulder,70.73057566525657,71.71720906976553,72.26580985482794,316.02880262944893,687.7463482119399,0.3621073114468029,0.05101396030504137
record-5270b0f60f13a98f,corrected,rgb,False,2,elbow,315.8822982532741,318.25498296994635,321.93216055417366,1079.020751327299,1230.0132073657455,0.5219301003750662,0.2573915935668104
record-5270b0f60f13a98f,corrected,rgb,False,3,forearm_roll,0.15718008915370665,0.15778401607241951,0.1597121249752172,4.884650059512687,4.0987476692830365,0.1495492881840851,18.79519704665879
record-5270b0f60f13a98f,corrected,rgb,False,4,wrist_angle,57.74053908978583,58.31350637081158,59.092523999785556,96.35060146337125,293.75767195103685,0.4493497712631133,17.693221124674167
record-19ed4caa5e02f664,corrected,depth,False,0,waist,342.3663285087948,341.8176310509951,346.2292948860182,12.051773423150026,25.404970952611723,0.256953162511318,0.2244825969630902
record-19ed4caa5e02f664,corrected,depth,False,1,shoulder,165.4357067529316,164.92516491792796,167.35122129842955,199.4603671314361,637.332424276972,0.10697316609100876,0.09785451016906645
